Computer Science,245,261,PERSON
Latin,349,354,GPE
Chinese,364,371,NORP
Computer Science,477,493,PERSON
English,601,608,LANGUAGE
Python,2484,2490,GPE
Java,2492,2496,ORG
Python,578,584,GPE
Java,589,593,PERSON
SQL,618,621,ORG
Carpentry,645,654,ORG
